mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,,,,Sex,Age
-1.81E-05,0.288675134,0.499963855,-0.5,-1.81E-05,-2.34E-16,-1.200000003,-0.250009036,0.249972891,-0.5,0.499981927,,,,Male,23
-2.01E-05,0.288675134,0.499959826,-0.5,-2.01E-05,-1.19E-18,-1.200000004,-0.250010043,0.24996987,-0.5,0.499979913,,,,Male,23
-1.14E-17,0.288675135,0.499987463,-0.499987463,0,-1.11E-17,-1.200000002,-0.249993731,0.249993731,-0.499987463,0.499987463,,,,Female,19
-2.44E-17,0.288675135,0.499988717,-0.499988717,0,1.51E-17,-1.200000001,-0.249994359,0.249994359,-0.499988717,0.499988717,,,,Male,23
-1.46E-05,0.288675134,0.499970776,-0.5,-1.46E-05,-1.43E-16,-1.200000002,-0.250007306,0.249978082,-0.5,0.499985388,,,,Male,23
-1.10E-05,0.288675135,0.499977973,-0.5,-1.10E-05,1.34E-16,-1.200000001,-0.250005507,0.249983479,-0.5,0.499988986,,,,Male,23
-1.64E-05,0.288675134,0.499967153,-0.5,-1.64E-05,-1.09E-16,-1.200000003,-0.250008212,0.249975365,-0.5,0.499983576,,,,Male,23
4.01E-18,0.288675134,0.499982355,-0.499982355,0,-5.60E-17,-1.200000003,-0.249991178,0.249991178,-0.499982355,0.499982355,,,,Male,23
1.36E-18,0.288675135,0.499992007,-0.499992007,0,-2.45E-17,-1.200000001,-0.249996004,0.249996004,-0.499992007,0.499992007,,,,Male,29
-1.30E-05,0.288675134,0.499973935,-0.5,-1.30E-05,-1.57E-16,-1.200000002,-0.250006516,0.249980451,-0.5,0.499986968,,,,Male,18
-1.84E-05,0.288675134,0.499963216,-0.5,-1.84E-05,2.39E-16,-1.200000003,-0.250009196,0.249972412,-0.5,0.499981608,,,,Male,18
-1.38E-05,0.288675134,0.499972476,-0.5,-1.38E-05,-1.84E-16,-1.200000002,-0.250006881,0.249979357,-0.5,0.499986238,,,,Male,18
-1.65E-05,0.288675134,0.49996692,-0.5,-1.65E-05,-2.64E-16,-1.200000003,-0.25000827,0.24997519,-0.5,0.49998346,,,,Male,18
0,0.288675134,0.499982037,-0.499982037,0,-3.22E-17,-1.200000003,-0.249991019,0.249991019,-0.499982037,0.499982037,,,,Male,18
-1.07E-05,0.288675135,0.499978517,-0.5,-1.07E-05,1.84E-16,-1.200000001,-0.250005371,0.249983888,-0.5,0.499989258,,,,Male,18
-5.91E-18,0.288675135,0.499991997,-0.499991997,0,-3.60E-17,-1.200000001,-0.249995999,0.249995999,-0.499991997,0.499991997,,,,Female,19
-1.92E-17,0.288675135,0.499989428,-0.499989428,0,8.63E-17,-1.200000001,-0.249994714,0.249994714,-0.499989428,0.499989428,,,,Female,23
-4.58E-06,0.288675135,0.499990833,-0.5,-4.58E-06,-1.88E-16,-1.2,-0.250002292,0.249993125,-0.5,0.499995416,,,,Male,25
-6.99E-18,0.288675134,0.499984631,-0.499984631,0,4.09E-17,-1.200000002,-0.249992315,0.249992315,-0.499984631,0.499984631,,,,Female,17
-1.98E-05,0.288675134,0.499960412,-0.5,-1.98E-05,-3.19E-17,-1.200000004,-0.250009897,0.249970309,-0.5,0.499980206,,,,Female,17
3.71E-18,0.288675134,0.499983687,-0.499983687,0,-8.19E-17,-1.200000003,-0.249991844,0.249991844,-0.499983687,0.499983687,,,,Female,17
-1.86E-17,0.288675134,0.499983638,-0.499983638,0,1.50E-16,-1.200000003,-0.249991819,0.249991819,-0.499983638,0.499983638,,,,Female,17
-4.89E-18,0.288675134,0.499978505,-0.499978505,0,-2.54E-17,-1.200000004,-0.249989252,0.249989252,-0.499978505,0.499978505,,,,Female,17
6.52E-18,0.288675135,0.499991804,-0.499991804,0,5.91E-17,-1.200000001,-0.249995902,0.249995902,-0.499991804,0.499991804,,,,Male,16
7.68E-18,0.288675135,0.499988739,-0.499988739,0,-4.83E-17,-1.200000001,-0.249994369,0.249994369,-0.499988739,0.499988739,,,,Female,18
-7.20E-18,0.288675134,0.499984172,-0.499984172,0,7.48E-17,-1.200000002,-0.249992086,0.249992086,-0.499984172,0.499984172,,,,Female,18
-3.06E-18,0.288675134,0.499986549,-0.499986549,0,-1.89E-17,-1.200000002,-0.249993274,0.249993274,-0.499986549,0.499986549,,,,Female,18
-1.61E-05,0.288675134,0.499967709,-0.5,-1.61E-05,-1.34E-16,-1.200000003,-0.250008073,0.249975781,-0.5,0.499983854,,,,Female,18
-1.62E-05,0.288675134,0.499967585,-0.5,-1.62E-05,2.03E-16,-1.200000003,-0.250008104,0.249975689,-0.5,0.499983793,,,,Female,18
-1.69E-05,0.288675134,0.499966191,-0.5,-1.69E-05,3.74E-17,-1.200000003,-0.250008452,0.249974643,-0.5,0.499983096,,,,Male,23
-2.23E-05,0.288675134,0.499955468,-0.5,-2.23E-05,1.45E-16,-1.200000005,-0.250011133,0.249966601,-0.5,0.499977734,,,,Male,23
-1.73E-05,0.288675134,0.499965467,-0.5,-1.73E-05,4.97E-17,-1.200000003,-0.250008633,0.2499741,-0.5,0.499982734,,,,Male,23
-2.18E-05,0.288675134,0.499956416,-0.5,-2.18E-05,-4.25E-16,-1.200000005,-0.250010896,0.249967312,-0.5,0.499978208,,,,Male,23
1.53E-17,0.288675134,0.499977557,-0.499977557,0,3.98E-17,-1.200000005,-0.249988779,0.249988779,-0.499977557,0.499977557,,,,Male,23
-1.23E-05,0.288675135,0.49997531,-0.5,-1.23E-05,-1.46E-17,-1.200000001,-0.250006173,0.249981482,-0.5,0.499987655,,,,Male,25
-1.32E-05,0.288675134,0.49997352,-0.5,-1.32E-05,4.30E-17,-1.200000002,-0.25000662,0.24998014,-0.5,0.49998676,,,,Male,24
1.23E-17,0.288675134,0.499981167,-0.499981167,0,-1.10E-17,-1.200000003,-0.249990583,0.249990583,-0.499981167,0.499981167,,,,Male,24
-1.80E-05,0.288675134,0.499964011,-0.5,-1.80E-05,-1.57E-16,-1.200000003,-0.250008997,0.249973008,-0.5,0.499982005,,,,Male,24
-5.38E-19,0.288675134,0.499981087,-0.499981087,0,9.16E-17,-1.200000003,-0.249990544,0.249990544,-0.499981087,0.499981087,,,,Male,24
9.44E-18,0.288675134,0.499985151,-0.499985151,0,4.41E-17,-1.200000002,-0.249992576,0.249992576,-0.499985151,0.499985151,,,,Male,24
-1.32E-05,0.288675134,0.499973569,-0.5,-1.32E-05,-7.22E-17,-1.200000002,-0.250006608,0.249980177,-0.5,0.499986784,,,,Male,51
