mean,sd,maxv,minv,median,skew,kurtosis,q1,q3,mode,iqr,energy,rmse,zcr,tempo,meanmfcc,minmfcc,maxmfcc,chroma_freq,spectral_centroid,spectral_bandwidth,spectral_rolloff,Sex,Age_Class
-1.16E-05,0.288675135,0.499976777,-0.5,-1.16E-05,-3.66E-17,-1.200000001,-0.250005806,0.249982582,-0.5,0.499988388,41.003788,0.030858511,2504,107.6660156,-6.6419973,-466.93207,155.76721,0.41882026,2116.360546,2577.431044,4603.165499,Male,0
-9.75E-06,0.288675135,0.499980495,-0.5,-9.75E-06,-7.57E-17,-1.200000001,-0.250004876,0.249985372,-0.5,0.499990248,174.60898,0.058358166,3933,95.703125,-10.156152,-463.53455,177.9599,0.40264446,1976.818513,2169.411853,3897.189966,Female,1
8.45E-18,0.288675135,0.49999151,-0.49999151,0,-9.97E-18,-1.200000001,-0.249995755,0.249995755,-0.49999151,0.49999151,294.72412,0.07074178,4145,117.4538352,-7.2359695,-499.1137,181.1531,0.45764852,2546.372305,2704.354027,5616.267763,Male,0
-1.02E-05,0.288675135,0.499979659,-0.5,-1.02E-05,-1.56E-17,-1.200000001,-0.250005085,0.249984744,-0.5,0.49998983,361.10452,0.08570412,3509,151.9990809,-8.764926,-501.84323,153.60696,0.3296367,2224.151134,2559.872684,4782.702007,Female,0
-1.69E-05,0.288675134,0.499966294,-0.5,-1.69E-05,1.69E-16,-1.200000003,-0.250008427,0.24997472,-0.5,0.499983147,210.65218,0.08426338,1441,107.6660156,-7.9612045,-393.56845,178.06342,0.25650024,1806.237029,2247.641028,3837.736564,Female,0
0,0.288675135,0.499987327,-0.499987327,0,-3.74E-18,-1.200000002,-0.249993664,0.249993664,-0.499987327,0.499987327,122.11385,0.055632867,4629,135.9991776,-8.741688,-439.47513,140.54501,0.28972745,2706.635704,2730.376666,5590.488845,Female,0
-2.08E-17,0.288675134,0.499985939,-0.499985939,0,1.18E-16,-1.200000002,-0.249992969,0.249992969,-0.499985939,0.499985939,441.0847,0.11137462,4508,123.046875,-5.4066377,-418.78537,169.21753,0.2968382,2518.746963,2462.915081,5105.061035,Female,0
8.80E-18,0.288675134,0.49998508,-0.49998508,0,8.29E-17,-1.200000002,-0.24999254,0.24999254,-0.49998508,0.49998508,596.13916,0.13337675,2701,161.4990234,-5.9545374,-385.40915,179.42654,0.29064363,2078.066508,2400.227,4361.289284,Female,0
-7.73E-06,0.288675135,0.499984549,-0.5,-7.73E-06,7.64E-17,-1.200000001,-0.250003863,0.249988412,-0.5,0.499992274,450.12146,0.08339608,4275,198.7680288,-6.1621923,-450.9198,192.04123,0.41038573,2047.885833,2421.244792,4564.191299,Male,1
-1.32E-17,0.288675135,0.499988915,-0.499988915,0,1.49E-16,-1.200000001,-0.249994457,0.249994457,-0.499988915,0.499988915,60.24018,0.03654524,2618,129.1992188,-4.9862585,-476.12402,168.50638,0.45258072,2438.100067,2846.191005,5582.059504,Male,0
-1.35E-05,0.288675134,0.499972955,-0.5,-1.35E-05,5.47E-17,-1.200000002,-0.250006761,0.249979717,-0.5,0.499986478,153.534,0.06443804,3281,143.5546875,-7.058497,-423.17035,148.81659,0.32852218,2170.27343,2494.272529,4409.734522,Female,0
-7.42E-06,0.288675135,0.499985162,-0.5,-7.42E-06,-1.14E-17,-1.200000001,-0.250003709,0.249988872,-0.5,0.499992581,152.41145,0.04755451,4433,117.4538352,-8.48093,-518.13824,182.41742,0.4202363,2409.445789,2617.672351,5190.072909,Male,1
-1.51E-17,0.288675134,0.499986762,-0.499986762,0,4.11E-17,-1.200000002,-0.249993381,0.249993381,-0.499986762,0.499986762,29.990658,0.028178979,2219,103.359375,-8.4094,-436.18393,119.55434,0.32180464,2425.649027,2880.550941,5861.250594,Female,0
-1.64E-05,0.288675134,0.499967258,-0.5,-1.64E-05,8.22E-17,-1.200000003,-0.250008185,0.249975444,-0.5,0.499983629,32.596638,0.03266914,2143,129.1992188,-9.751521,-394.42764,133.66245,0.2519525,2239.086123,2558.342475,4687.060547,Female,0
-1.24E-05,0.288675135,0.499975218,-0.5,-1.24E-05,5.49E-18,-1.200000001,-0.250006195,0.249981414,-0.5,0.499987609,77.6035,0.04385389,2214,129.1992188,-6.166105,-439.01297,122.2072,0.35749784,2269.050324,2879.868903,5570.557877,Female,0
-1.28E-05,0.288675134,0.499974355,-0.5,-1.28E-05,5.49E-17,-1.200000002,-0.250006411,0.249980766,-0.5,0.499987178,81.62898,0.045753393,4690,143.5546875,-5.2494006,-468.78564,138.73203,0.44245112,2966.046393,3151.228451,6708.991033,Female,0
